encodeur,condition,variante,vrai,predit,n
A0 ep100,source,equilibree,thyroide,cardiaque,6
A0 ep100,source,equilibree,thyroide,thyroide,755
A0 ep100,source,equilibree,thyroide,sein,357
A0 ep100,source,equilibree,sein,foetal,35
A0 ep100,source,equilibree,sein,cardiaque,5
A0 ep100,source,equilibree,sein,thyroide,189
A0 ep100,source,equilibree,sein,sein,927
A0 ep100,source,brute,foetal,foetal,1599
A0 ep100,source,brute,foetal,cardiaque,307
A0 ep100,source,brute,foetal,thyroide,65
A0 ep100,source,brute,foetal,sein,129
A0 ep100,source,brute,cardiaque,foetal,782
A0 ep100,source,brute,cardiaque,cardiaque,773
A0 ep100,source,brute,cardiaque,thyroide,221
A0 ep100,source,brute,cardiaque,sein,24
A0 ep100,source,brute,thyroide,foetal,78
A0 ep100,source,brute,thyroide,cardiaque,4
A0 ep100,source,brute,thyroide,thyroide,769
A0 ep100,source,brute,thyroide,sein,349
A0 ep100,source,brute,sein,foetal,32
A0 ep100,source,brute,sein,cardiaque,3
A0 ep100,source,brute,sein,thyroide,187
A0 ep100,source,brute,sein,sein,934
A0 ep200,image,equilibree,foetal,foetal,629
A0 ep200,image,equilibree,foetal,cardiaque,0
A0 ep200,image,equilibree,foetal,thyroide,0
A0 ep200,image,equilibree,foetal,sein,1
A0 ep200,image,equilibree,cardiaque,foetal,1
A0 ep200,image,equilibree,cardiaque,cardiaque,538
A0 ep200,image,equilibree,cardiaque,thyroide,0
A0 ep200,image,equilibree,cardiaque,sein,1
A0 ep200,image,equilibree,thyroide,foetal,1
A0 ep200,image,equilibree,thyroide,cardiaque,0
A0 ep200,image,equilibree,thyroide,thyroide,355
A0 ep200,image,equilibree,thyroide,sein,4
A0 ep200,image,equilibree,sein,foetal,0
A0 ep200,image,equilibree,sein,cardiaque,0
A0 ep200,image,equilibree,sein,thyroide,3
A0 ep200,image,equilibree,sein,sein,344
A0 ep200,image,brute,foetal,foetal,629
A0 ep200,image,brute,foetal,cardiaque,0
A0 ep200,image,brute,foetal,thyroide,0
A0 ep200,image,brute,foetal,sein,1
A0 ep200,image,brute,cardiaque,foetal,1
A0 ep200,image,brute,cardiaque,cardiaque,538
A0 ep200,image,brute,cardiaque,thyroide,0
