encodeur,condition,variante,vrai,predit,n
A0 ep200,image,brute,cardiaque,foetal,1
A0 ep200,image,brute,cardiaque,cardiaque,539
A0 ep200,image,brute,cardiaque,thyroide,0
A0 ep200,image,brute,cardiaque,sein,0
A0 ep200,image,brute,thyroide,foetal,1
A0 ep200,image,brute,thyroide,cardiaque,0
A0 ep200,image,brute,thyroide,thyroide,263
A0 ep200,image,brute,thyroide,sein,6
A0 ep200,image,brute,sein,foetal,1
A0 ep200,image,brute,sein,cardiaque,0
A0 ep200,image,brute,sein,thyroide,6
A0 ep200,image,brute,sein,sein,340
A0 ep200,source,equilibree,foetal,foetal,1360
A0 ep200,source,equilibree,foetal,cardiaque,239
A0 ep200,source,equilibree,foetal,thyroide,105
A0 ep200,source,equilibree,foetal,sein,96
A0 ep200,source,equilibree,cardiaque,foetal,979
A0 ep200,source,equilibree,cardiaque,cardiaque,601
A0 ep200,source,equilibree,cardiaque,thyroide,214
A0 ep200,source,equilibree,cardiaque,sein,6
A0 ep200,source,equilibree,thyroide,foetal,106
A0 ep200,source,equilibree,thyroide,cardiaque,1
A0 ep200,source,equilibree,thyroide,thyroide,675
A0 ep200,source,equilibree,thyroide,sein,118
A0 ep200,source,equilibree,sein,foetal,43
A0 ep200,source,equilibree,sein,cardiaque,1
A0 ep200,source,equilibree,sein,thyroide,168
A0 ep200,source,equilibree,sein,sein,944
A0 ep200,source,brute,foetal,foetal,1355
A0 ep200,source,brute,foetal,cardiaque,248
A0 ep200,source,brute,foetal,thyroide,110
A0 ep200,source,brute,foetal,sein,87
A0 ep200,source,brute,cardiaque,foetal,1043
A0 ep200,source,brute,cardiaque,cardiaque,562
A0 ep200,source,brute,cardiaque,thyroide,191
A0 ep200,source,brute,cardiaque,sein,4
A0 ep200,source,brute,thyroide,foetal,108
A0 ep200,source,brute,thyroide,cardiaque,1
A0 ep200,source,brute,thyroide,thyroide,665
A0 ep200,source,brute,thyroide,sein,126
A0 ep200,source,brute,sein,foetal,44
A0 ep200,source,brute,sein,cardiaque,3
A0 ep200,source,brute,sein,thyroide,169
A0 ep200,source,brute,sein,sein,940
A0 ep300,image,equilibree,foetal,foetal,535
A0 ep300,image,equilibree,foetal,cardiaque,3
A0 ep300,image,equilibree,foetal,thyroide,0
A0 ep300,image,equilibree,foetal,sein,2
A0 ep300,image,equilibree,cardiaque,foetal,3
A0 ep300,image,equilibree,cardiaque,cardiaque,537
A0 ep300,image,equilibree,cardiaque,thyroide,0
A0 ep300,image,equilibree,cardiaque,sein,0
A0 ep300,image,equilibree,thyroide,foetal,1
A0 ep300,image,equilibree,thyroide,cardiaque,0
A0 ep300,image,equilibree,thyroide,thyroide,263
A0 ep300,image,equilibree,thyroide,sein,6
A0 ep300,image,equilibree,sein,foetal,2
A0 ep300,image,equilibree,sein,cardiaque,0
A0 ep300,image,equilibree,sein,thyroide,7
A0 ep300,image,equilibree,sein,sein,338
A0 ep300,image,brute,foetal,foetal,537
A0 ep300,image,brute,foetal,cardiaque,2
A0 ep300,image,brute,foetal,thyroide,0
A0 ep300,image,brute,foetal,sein,1
A0 ep300,image,brute,cardiaque,foetal,3
A0 ep300,image,brute,cardiaque,cardiaque,537
A0 ep300,image,brute,cardiaque,thyroide,0
A0 ep300,image,brute,cardiaque,sein,0
