encodeur,condition,variante,type,statistique,estimation,ic_bas,ic_haut
A0 ep300,image_cv,equilibree,grappe_sources,exactitude,0.9888613861386139,0.9796470383461868,0.995200657708628
A0 ep300,image_cv,equilibree,grappe_sources,exactitude_equilibree,0.9861529219530949,0.9757666114427358,0.9937131958175427
A0 ep300,image_cv,equilibree,grappe_sources,f1_macro,0.9862697723107732,0.9716364042358331,0.9933236650039919
A0 ep300,image_cv,brute,image,exactitude,0.9893917963224894,0.986735325318246,0.992043847241867
A0 ep300,image_cv,brute,image,exactitude_equilibree,0.9868017108804306,0.9833926481879303,0.990374920281
A0 ep300,image_cv,brute,image,f1_macro,0.9870440424009357,0.9836997137576804,0.9904808855438993
A0 ep300,image_cv,brute,grappe_sources,exactitude,0.9893917963224894,0.9813633095139852,0.9947838768115942
A0 ep300,image_cv,brute,grappe_sources,exactitude_equilibree,0.9868017108804306,0.9773638264573071,0.9930035832321598
A0 ep300,image_cv,brute,grappe_sources,f1_macro,0.9870440424009357,0.9722504051232875,0.9928030371529393
FOETAL ep50,image_cv,equilibree,image,exactitude,0.9874469589816125,0.9842644978783592,0.9902758132956153
FOETAL ep50,image_cv,equilibree,image,exactitude_equilibree,0.9854882737408688,0.981758019098658,0.9889421879722927
FOETAL ep50,image_cv,equilibree,image,f1_macro,0.9851971920695424,0.9813490852512637,0.9886580877784832
FOETAL ep50,image_cv,equilibree,grappe_sources,exactitude,0.9874469589816125,0.9800246005046257,0.9932933668716228
FOETAL ep50,image_cv,equilibree,grappe_sources,exactitude_equilibree,0.9854882737408688,0.978605746092781,0.9911124009883003
FOETAL ep50,image_cv,equilibree,grappe_sources,f1_macro,0.9851971920695424,0.9702177426804162,0.9909109878859632
FOETAL ep50,image_cv,brute,image,exactitude,0.9874469589816125,0.9846181046676096,0.9902758132956153
FOETAL ep50,image_cv,brute,image,exactitude_equilibree,0.9852104959630912,0.9817245231006395,0.9885085188422856
FOETAL ep50,image_cv,brute,image,f1_macro,0.985156313758687,0.9817366964613167,0.9885393910548873
FOETAL ep50,image_cv,brute,grappe_sources,exactitude,0.9874469589816125,0.9792737402541745,0.9929988331388565
FOETAL ep50,image_cv,brute,grappe_sources,exactitude_equilibree,0.9852104959630912,0.9772488095238094,0.9908361953294508
FOETAL ep50,image_cv,brute,grappe_sources,f1_macro,0.985156313758687,0.9703960897938484,0.9911522617787712
FOETAL ep100,image_cv,equilibree,image,exactitude,0.987093352192362,0.9840876944837341,0.989922206506365
FOETAL ep100,image_cv,equilibree,image,exactitude_equilibree,0.9844069588619762,0.9806956703957099,0.9878994725734227
FOETAL ep100,image_cv,equilibree,image,f1_macro,0.9841338390510099,0.9805588515689894,0.9877193322756609
FOETAL ep100,image_cv,equilibree,grappe_sources,exactitude,0.987093352192362,0.979290679331249,0.99345315211472
FOETAL ep100,image_cv,equilibree,grappe_sources,exactitude_equilibree,0.9844069588619762,0.97769375,0.9904629721223023
FOETAL ep100,image_cv,equilibree,grappe_sources,f1_macro,0.9841338390510099,0.9697865165144992,0.9909040713942066
FOETAL ep100,image_cv,brute,image,exactitude,0.9874469589816125,0.9844413012729845,0.9900990099009901
FOETAL ep100,image_cv,brute,image,exactitude_equilibree,0.9848553440984237,0.9809473582603442,0.9882548460556623
FOETAL ep100,image_cv,brute,image,f1_macro,0.9847949677336195,0.9808886545376163,0.9880006249907383
FOETAL ep100,image_cv,brute,grappe_sources,exactitude,0.9874469589816125,0.9801822639838016,0.9933348502642395
FOETAL ep100,image_cv,brute,grappe_sources,exactitude_equilibree,0.9848553440984237,0.9774841169921205,0.9907572817638746
FOETAL ep100,image_cv,brute,grappe_sources,f1_macro,0.9847949677336195,0.9695882366147254,0.9913647849456271
