encodeur,condition,variante,pli,n_test,exactitude,exactitude_equilibree,f1_macro,rappel_foetal,rappel_cardiaque,rappel_thyroide,rappel_sein
A0 ep200,source,brute,1,2356,0.568760611205433,0.7513863908872902,0.6433895085235299,0.9766666666666667,0.2425,0.9266666666666666,0.8597122302158273
A0 ep200,source,brute,2,1500,0.736,0.7291666666666666,0.7249440873074791,0.7633333333333333,0.5333333333333333,0.6633333333333333,0.9566666666666667
A0 ep300,image,equilibree,regroupe,1697,0.9858573954036535,0.9833306649589071,0.9834529327013138,0.9907407407407407,0.9944444444444445,0.9740740740740741,0.9740634005763689
A0 ep300,image,brute,regroupe,1697,0.9870359457866824,0.9842565908848329,0.9845021292966967,0.9944444444444445,0.9944444444444445,0.9740740740740741,0.9740634005763689
A0 ep300,source,equilibree,regroupe,5656,0.6356082036775106,0.6688249711649366,0.641839722130561,0.7305555555555555,0.36,0.7811111111111111,0.8036332179930796
A0 ep300,source,equilibree,0,1800,0.5655555555555556,0.5144444444444445,0.5009467707050724,0.6677777777777778,0.09333333333333334,0.73,0.5666666666666667
A0 ep300,source,equilibree,1,2356,0.6124787775891342,0.7641381894484414,0.6709624098608488,0.96,0.3425,0.9033333333333333,0.8507194244604317
A0 ep300,source,equilibree,2,1500,0.756,0.7675000000000001,0.7559363528261641,0.71,0.6966666666666667,0.71,0.9533333333333334
A0 ep300,source,brute,regroupe,5656,0.629066478076379,0.6644598231449442,0.6353577659275285,0.7344444444444445,0.33,0.7811111111111111,0.8122837370242214
A0 ep300,source,brute,0,1800,0.5716666666666667,0.523611111111111,0.5101016057370067,0.6677777777777778,0.10333333333333333,0.7366666666666667,0.5866666666666667
A0 ep300,source,brute,1,2356,0.5882852292020373,0.752745803357314,0.6531193539097832,0.97,0.29333333333333333,0.8933333333333333,0.85431654676259
A0 ep300,source,brute,2,1500,0.762,0.7733333333333333,0.7617295709102836,0.7166666666666667,0.7033333333333334,0.7133333333333334,0.96
FOETAL ep50,image,equilibree,regroupe,1697,0.9840895698291102,0.9816842779378803,0.981123691432201,0.987037037037037,0.9944444444444445,0.9740740740740741,0.9711815561959655
FOETAL ep50,image,brute,regroupe,1697,0.9882144961697112,0.9854400149428968,0.9851985726369962,0.9925925925925926,0.9981481481481481,0.9740740740740741,0.9769452449567724
FOETAL ep50,source,equilibree,regroupe,5656,0.6472772277227723,0.6693766820453672,0.659913180236392,0.7544444444444445,0.4116666666666667,0.7233333333333334,0.7880622837370242
FOETAL ep50,source,equilibree,0,1800,0.6588888888888889,0.6577777777777778,0.6162341375154619,0.6611111111111111,0.9533333333333334,0.5933333333333334,0.42333333333333334
FOETAL ep50,source,equilibree,1,2356,0.5785229202037352,0.7595563549160671,0.6519075220926431,0.99,0.25,0.9133333333333333,0.8848920863309353
FOETAL ep50,source,equilibree,2,1500,0.7413333333333333,0.7325,0.729816546117638,0.7766666666666666,0.5166666666666667,0.6633333333333333,0.9733333333333334
FOETAL ep50,source,brute,regroupe,5656,0.6391442715700142,0.6623390042291426,0.6531064526226813,0.755,0.3888888888888889,0.72,0.7854671280276817
FOETAL ep50,source,brute,0,1800,0.6622222222222223,0.6627777777777778,0.6199503994293976,0.6611111111111111,0.9766666666666667,0.59,0.42333333333333334
FOETAL ep50,source,brute,1,2356,0.5547538200339559,0.7492820743405275,0.6344135955951058,0.99,0.2025,0.9233333333333333,0.8812949640287769
FOETAL ep50,source,brute,2,1500,0.744,0.7354166666666666,0.7333648134835176,0.7783333333333333,0.5466666666666666,0.6466666666666666,0.97
FOETAL ep100,image,equilibree,regroupe,1697,0.9893930465527401,0.9866754723022735,0.9866256685041142,0.9925925925925926,0.9981481481481481,0.9703703703703703,0.9855907780979827
FOETAL ep100,image,brute,regroupe,1697,0.9888037713612257,0.9859550112071727,0.9860293878642266,0.9925925925925926,0.9981481481481481,0.9703703703703703,0.9827089337175793
FOETAL ep100,source,equilibree,regroupe,5656,0.6221711456859972,0.659305074971165,0.6352329271821291,0.71,0.3322222222222222,0.7844444444444445,0.8105536332179931
FOETAL ep100,source,equilibree,0,1800,0.6155555555555555,0.6122222222222222,0.5875097921985006,0.6222222222222222,0.57,0.7166666666666667,0.54
FOETAL ep100,source,equilibree,1,2356,0.5895585738539898,0.7704991007194244,0.659284455487688,0.9833333333333333,0.2658333333333333,0.9533333333333334,0.8794964028776978
FOETAL ep100,source,equilibree,2,1500,0.6813333333333333,0.6754166666666667,0.6620939293101463,0.705,0.36,0.6833333333333333,0.9533333333333334
FOETAL ep100,source,brute,regroupe,5656,0.6193422913719944,0.6578565936178393,0.6336291421439257,0.7227777777777777,0.305,0.7844444444444445,0.8192041522491349
FOETAL ep100,source,brute,0,1800,0.6266666666666667,0.6283333333333333,0.6022523791804525,0.6233333333333333,0.6133333333333333,0.72,0.5566666666666666
FOETAL ep100,source,brute,1,2356,0.5606960950764007,0.7560911270983213,0.6380177296588663,0.9833333333333333,0.21,0.9533333333333334,0.8776978417266187
FOETAL ep100,source,brute,2,1500,0.7026666666666667,0.6929166666666666,0.6823386050378766,0.7416666666666667,0.37666666666666665,0.68,0.9733333333333334
